SLIPID,SLIPTIMESTAMP,PLAYER_ID,CURRENTSF,LOGSF,STAKE,GGR,BETODD,SPORTNAMEENGLISH,LEAGUENAMEENGLISH,EVENTDESCRIPTION,GAMEDESCRIPTION,Market Name,Market Name Corners,RESULTDESCRIPTION,SRC_EVENT_ID,GOAL_EXP_HOME,GOAL_EXP_AWAY,DRAW_FACTOR,FIRST_HALF_GOALS_PERC,INJURY_TIME_1ST_HALF,INJURY_TIME_2ND_HALF,MINUTES,Data Set,Default 1st Half Injury Time,1st Half Injury Time change?,Magnitude of change,Magnitude of change relative
7843162951,0.007534722,702088966,0.01,0.01,2,2,3.3,Football,Serie A,Empoli FC - Bologna FC,Total Corners,Total Corners,Total Corners,"Under 5,5",7537301,0.785,1.2931,0.9277,0.4465,3,6,23,Dynamic,3,1st Half Inj Time increased,1,1
7617432815,0.02212963,702088966,0.01,0.01,2,-1.8,1.9,Football,UEFA Champions League,Bayern Munich - Benfica Lisbon,Benfica Lisbon - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 2,5",6572957,2.7302,0.7349,0.9788,0.4501,2,5,14,Dynamic,2,1st Half Inj Time decreased,1,-1
7668763261,0.010104167,703252292,0.01,1,229.519038,-229.519038,2,Football,Brasileiro Serie A,Botafogo FR RJ - EC Vitoria Salvador BA,EC Vitoria Salvador BA - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 1,5",7513012,2.5637,0.5559,0.9954,0.5025,2,5,44,Dynamic,2,1st Half Inj Time increased,3,3
7734416497,0.009201389,700183491,0.01,0.01,2,2,5.25,Football,Premier League,Liverpool - Fulham,Total Corners,Total Corners,Total Corners,"Under 7,5",7517430,2.4419,0.7587,0.9564,0.437,6,7,51,Dynamic,4,1st Half Inj Time increased,2,2
7668766149,0.010983796,703655437,0.01,1,1.6394217,-1.80336387,2.1,Football,Brasileiro Serie A,Botafogo FR RJ - EC Vitoria Salvador BA,EC Vitoria Salvador BA - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 1,5",7513012,2.1794,0.4745,0.9954,0.3908,5,5,45,Dynamic,2,1st Half Inj Time increased,3,3
7788326958,0.024675926,605398225,0.3,1,101.7917162,-18.32250873,1.18,Football,Ligue 1,Olympique Lyon - Montpellier HSC,Total Corners,Total Corners,Total Corners,"Under 9,5",7529840,2.3058,0.9768,0.9518,0.4371,3,6,74,Dynamic,3,No change in 1st Half Inj Time,0,0
7810360277,0.009189815,703370092,0.01,0.01,2,-7.6,4.8,Football,Serie A,AC Monza - ACF Fiorentina,Total Corners,Total Corners,Total Corners,"Under 6,5",7532975,0.6772,1.6273,0.9236,0.437,2,6,66,Dynamic,3,1st Half Inj Time decreased,1,-1
7856289363,0.033252315,708689826,0.01,0.01,0.19640867,-0.2356904,2.2,Football,UEFA Europa League,Rangers FC - Union Saint-Gilloise,Total Corners,Total Corners,Total Corners,"Under 10,5",7542323,1.75,1.5393,0.9355,0.4879,4,5,47,Dynamic,2,1st Half Inj Time increased,2,2
7917203342,0.003576389,704695184,0.01,1,1.00815066,1.00815066,2.85,Football,Paulista Serie A1,SE Palmeiras SP - Botafogo FC SP,Total Corners,Total Corners,Total Corners,"Over 16,5",7559755,2.8298,0.6312,0.9061,0.437,4,5,74,Dynamic,2,1st Half Inj Time increased,2,2
7812723831,0.027662037,608003278,0.01,0.01,1,-0.38,1.38,Football,Premier League,Nottingham Forest - Liverpool,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Under 2,5",7530723,0.8028,2.1538,0.9396,0.4232,4,7,39,Dynamic,4,1st Half Inj Time decreased,3,-3
7768675876,0.029699074,704340723,0.01,1,5,5,3.9,Football,Premier League,Arsenal - Ipswich Town,Total Corners,Total Corners,Total Corners,"Under 5,5",7524277,2.6005,0.54,0.9946,0.437,1,7,70,Dynamic,4,1st Half Inj Time decreased,3,-3
7677593508,0.022719907,642550673,0.01,1,57.3959575,-74.61474475,2.3,Football,UEFA Champions League,Manchester City - Feyenoord Rotterdam,Feyenoord Rotterdam - Total Corners,Strong Dog - Total Corners,Strong Corner Dog - Total Corners,"Over 1,5",7506821,3.0243,0.663,0.987,0.443,2,5,32,Dynamic,2,No change in 1st Half Inj Time,0,0
7716604088,0.006168981,563464618,0.3,0.3,7.871063,-39.355315,6,Football,Premier League,Fulham - Arsenal,Total Corners,Total Corners,Total Corners,"Under 7,5",7514305,0.731,2.2277,0.9628,0.437,1,7,50,Dynamic,4,1st Half Inj Time decreased,3,-3
7832329142,0.022824074,708329968,0.01,1,200,-190,1.95,Football,UEFA Champions League,Benfica Lisbon - FC Barcelona,Benfica Lisbon - Total Corners,Medium Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 2,5",7530371,1.3552,1.9528,0.9219,0.437,4,5,72,Dynamic,2,1st Half Inj Time increased,2,2
7797256765,0.039895833,707832021,0.3,0.3,0.788561,0.788561,5.25,Football,Premiership,Kilmarnock FC - Motherwell,Total Corners,Total Corners,Total Corners,"Over 20,5",7532285,1.7389,0.8754,0.9591,0.437,4,5,51,Dynamic,2,1st Half Inj Time increased,2,2
7876174549,0.002488426,705144014,0.01,0.01,1.014224,-0.61851038,1.61,Football,EFL Cup,Liverpool - Tottenham Hotspur,Total Corners,Total Corners,Total Corners,"Over 17,5",7531243,2.8469,0.8338,0.9842,0.437,7,5,45,Dynamic,2,1st Half Inj Time increased,5,5
7836926022,0.014918981,708162414,0.01,0.99,19.8,19.8,3.4,Football,UEFA Europa League,FK Bodo/Glimt - Maccabi Tel Aviv FC,Total Corners,Total Corners,Total Corners,"Over 11,5",7530351,2.5652,0.8354,0.9487,0.4436,2,5,36,Dynamic,2,No change in 1st Half Inj Time,0,0
7793354430,0.012615741,703430666,0.3,0.3,5.1129188,5.1129188,1.88,Football,Premier League,Wolverhampton Wanderers - Nottingham Forest,Nottingham Forest - Total Corners,Slight Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 3,5",7528109,1.2862,1.3682,1.0094,0.4452,4,7,18,Dynamic,4,1st Half Inj Time decreased,2,-2
7640096633,0.026018519,701873095,0.01,1,81.63462,81.63462,2.1,Football,Brasileiro Serie A,CR Flamengo RJ - CA Mineiro MG,CA Mineiro MG - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 2,5",7504844,1.9815,0.8622,0.9107,0.5017,1,5,45,Dynamic,2,1st Half Inj Time increased,2,2
7871492099,0.029560185,704902998,0.01,1,50.037606,50.037606,4.75,Football,Paulista Serie A1,AA Internacional Limeira SP - Red Bull Bragantino SP,Most Corners,Most Corners,Most Corners,AA Internacional Limeira SP,7541865,0.8137,1.6111,0.9686,0.437,3,5,52,Dynamic,2,1st Half Inj Time increased,1,1
7856233083,0.01494213,708571862,0.01,1,122.7554175,-128.8931884,2.05,Football,UEFA Europa League,SC Braga - SS Lazio,SS Lazio - Total Corners,Slight Dog - Total Corners,Medium Corner Dog - Total Corners,"Over 4,5",7542330,1.4304,1.4064,0.9452,0.4458,2,5,21,Dynamic,2,No change in 1st Half Inj Time,0,0
7812767333,0.040590278,704412812,0.01,0.99,108.9,-51.18,1.47,Football,Premiership,Dundee FC - Celtic FC,Dundee FC - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 3,5",7533653,0.5733,2.5403,0.9832,0.437,1,5,45,Dynamic,2,1st Half Inj Time decreased,1,-1
7887851806,0.002256944,708962154,0.01,1,133.06728,-199.60092,2.5,Football,Paulista Serie A1,EC Agua Santa SP - SE Palmeiras SP,EC Agua Santa SP - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 2,5",7544673,0.398,2.5199,0.9496,0.437,2,5,72,Dynamic,2,No change in 1st Half Inj Time,0,0
7886612954,0.024224537,704165292,0.01,0.01,1,-3.6,4.6,Football,Primeira Liga,SC Braga - Gil Vicente FC,Total Corners,Total Corners,Total Corners,"Under 6,5",7543698,1.7511,0.9074,0.9567,0.4562,2,5,33,Dynamic,2,1st Half Inj Time increased,1,1
7640084916,0.022372685,640461815,0.01,1,74.12423496,74.12423496,2.5,Football,Brasileiro Serie A,CR Flamengo RJ - CA Mineiro MG,CA Mineiro MG - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 2,5",7504844,1.9815,0.8622,0.9107,0.5017,1,5,45,Dynamic,2,1st Half Inj Time increased,2,2
7787217701,0.009791667,707815394,0.3,0.3,1.5510037,1.5510037,2.05,Football,Premier League,Manchester City - West Ham United,Manchester City - Total Corners,Strong Jolly - Total Corners,Medium Corner Jolly - Total Corners,"Over 8,5",7526879,2.2304,0.8069,0.9634,0.3788,1,7,56,Dynamic,4,1st Half Inj Time decreased,3,-3
7824745712,0.017997685,708239459,0.01,0.3,40.2745625,-64.4393,2.6,Football,"Liga MX, Clausura",Deportivo Toluca FC - CF Monterrey,Total Corners,Total Corners,Total Corners,"Under 11,5",7532955,1.4595,1.1729,0.9544,0.437,2,5,63,Dynamic,2,No change in 1st Half Inj Time,0,0
7826220542,0.01349537,708239459,0.01,0.3,67.9834615,67.9834615,2.2,Football,Premier League,Manchester United - Brighton & Hove Albion,Total Corners,Total Corners,Total Corners,"Under 3,5",7531773,1.5727,1.1849,0.9735,0.437,2,7,59,Dynamic,4,1st Half Inj Time decreased,2,-2
7658428422,0.015532407,703279403,0.3,0.3,13.1067224,13.1067224,2.25,Football,Brasileiro Serie A,SC Corinthians SP - Cruzeiro EC MG,Total Corners,Total Corners,Total Corners,"Over 9,5",7511164,1.6292,0.9217,0.9591,0.437,5,5,54,Dynamic,2,1st Half Inj Time increased,3,3
7640107348,0.029895833,703346860,0.01,1,64.092,-60.8874,1.95,Football,Brasileiro Serie A,CR Flamengo RJ - CA Mineiro MG,Total Corners,Total Corners,Total Corners,"Over 10,5",7504844,1.9815,0.8622,0.9107,0.5017,1,5,45,Dynamic,2,1st Half Inj Time increased,2,2
7864885884,0.020740741,708505814,0.01,1,326.9368,-392.32416,2.2,Football,LaLiga,FC Barcelona - Deportivo Alaves,Total Corners,Total Corners,Total Corners,"Under 8,5",7540756,2.8969,0.6729,0.9529,0.437,6,7,67,Dynamic,4,1st Half Inj Time increased,2,2
7909407987,0.029050926,709264740,0.01,0.3,118.427659,118.427659,1.85,Football,Championship,Leeds United - Sunderland AFC,Leeds United - Total Corners,Strong Jolly - Total Corners,Strong Corner Jolly - Total Corners,"Over 12,5",7558556,2.1038,0.7217,0.9328,0.4479,3,6,40,Dynamic,3,1st Half Inj Time increased,1,1
7640072237,0.018460648,647906391,0.01,1,57.144234,57.144234,1.5,Football,Brasileiro Serie A,CR Flamengo RJ - CA Mineiro MG,CA Mineiro MG - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 3,5",7504844,1.9815,0.8622,0.9107,0.5017,1,5,45,Dynamic,2,1st Half Inj Time increased,2,2
7739129116,0.035115741,703902907,0.01,0.99,300,300,2.45,Football,LaLiga,Villarreal CF - Real Betis,Total Corners,Total Corners,Total Corners,"Under 8,5",7525279,1.9999,0.9283,0.9367,0.437,3,7,60,Dynamic,4,1st Half Inj Time decreased,1,-1
7921285125,0.035740741,704025366,0.01,0.01,2,2,3.8,Football,Premier League,Everton FC - Manchester United,Total Corners,Total Corners,Total Corners,"Over 15,5",7543404,1.1202,1.2625,0.9343,0.437,6,7,57,Dynamic,4,1st Half Inj Time increased,2,2
7812864837,0.023773148,704025366,0.01,0.01,2,2,3.2,Football,Premier League,Nottingham Forest - Liverpool,Total Corners,Total Corners,Total Corners,"Under 6,5",7530723,0.8049,2.0716,0.9396,0.437,1,7,76,Dynamic,4,1st Half Inj Time decreased,3,-3
7793507240,0.038159722,706467927,0.3,0.3,28.59685188,28.59685188,1.73,Football,Primeira Liga,Gil Vicente FC - Rio Ave FC,Total Corners,Total Corners,Total Corners,"Over 8,5",7531984,1.3467,1.1339,0.9187,0.437,2,5,77,Dynamic,2,No change in 1st Half Inj Time,0,0
7691073579,0.022118056,703825077,0.01,0.3,84.0808059,-47.92605936,1.57,Football,Copa Libertadores,CA Mineiro MG - Botafogo FR RJ,Botafogo FR RJ - Total Corners,Slight Dog - Total Corners,Slight Corner Jolly - Total Corners,"Under 2,5",7507112,1.0993,1.0427,0.8825,0.4346,2,5,31,Dynamic,2,No change in 1st Half Inj Time,0,0
7876100857,0.024733796,705218534,0.01,0.01,0.15961558,-0.19120617,2.2,Football,EFL Cup,Liverpool - Tottenham Hotspur,Total Corners,Total Corners,Total Corners,"Over 15,5",7531243,3.0989,0.9286,0.9842,0.4719,2,5,34,Dynamic,2,1st Half Inj Time increased,5,5
7770387652,0.002071759,700238411,0.3,0.3,7.4660075,7.4660075,1.7,Football,Serie A,Parma Calcio - AC Monza,AC Monza - Total Corners,Slight Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 8,5",7529480,1.4016,1.515,0.9094,0.437,2,6,45,Dynamic,3,1st Half Inj Time decreased,1,-1
7640001604,0.040706019,703138708,0.01,0.01,2,2,2.3,Football,Brasileiro Serie A,CR Flamengo RJ - CA Mineiro MG,CA Mineiro MG - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 2,5",7504844,1.9815,0.8622,0.9107,0.5017,1,5,45,Dynamic,2,1st Half Inj Time increased,2,2
7879601457,0.025983796,708576399,0.01,1,166.3341,-224.551035,2.35,Football,Paulista Serie A1,Portuguesa de Desportos SP - AA Internacional Limeira SP,AA Internacional Limeira SP - Total Corners,Strong Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 2,5",7543228,1.8995,0.7516,0.9232,0.489,2,5,48,Dynamic,2,No change in 1st Half Inj Time,0,0
7640084291,0.02224537,703409381,0.01,0.3,163.26924,163.26924,2.45,Football,Brasileiro Serie A,CR Flamengo RJ - CA Mineiro MG,CA Mineiro MG - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 2,5",7504844,1.9815,0.8622,0.9107,0.5017,1,5,45,Dynamic,2,1st Half Inj Time increased,2,2
7691113916,0.030034722,642683920,0.01,1,207,207,1.88,Football,Ligue 1,Paris Saint-Germain - FC Nantes,FC Nantes - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 1,5",7514684,2.7396,0.5615,0.9661,0.4446,3,6,42,Dynamic,3,1st Half Inj Time decreased,1,-1
7862202326,0.029247685,566376397,0.5,0.5,39.42981735,39.42981735,1.9091,Football,Premier League,Wolverhampton Wanderers - Aston Villa,Aston Villa - Total Corners,Slight Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 9,5",7534501,1.4579,1.5641,0.9388,0.437,4,7,51,Dynamic,4,No change in 1st Half Inj Time,0,0
7903430878,0.028356481,708456999,0.01,1,2,2,3.8,Football,Bundesliga,Bayer Leverkusen - Bayern Munich,Total Corners,Total Corners,Total Corners,"Over 10,5",7543414,1.3001,1.5016,0.9357,0.4526,3,6,10,Dynamic,3,1st Half Inj Time decreased,2,-2
